name,album,artist,release_date,popularity,danceability,acousticness,energy,instrumentalness,liveness,speechiness,valence
怪獣の花唄,strobo,Vaundy,2020-05-27,0,0.425,0.00361,0.939,0.0,0.331,0.054,0.638
花占い,花占い,Vaundy,2021-07-05,0,0.662,0.0141,0.789,0.0,0.317,0.0305,0.881
napori,strobo,Vaundy,2020-05-27,1,0.88,0.417,0.356,0.0,0.0997,0.297,0.468
灯火,strobo,Vaundy,2020-05-27,0,0.627,0.0418,0.67,0.00213,0.0818,0.0368,0.537
世界の秘密,世界の秘密,Vaundy,2020-12-27,0,0.683,0.142,0.53,0.0,0.0978,0.0614,0.823
東京フラッシュ,東京フラッシュ,Vaundy,2019-11-29,0,0.633,0.003,0.665,2.3e-05,0.0642,0.0327,0.599
不可幸力,不可幸力,Vaundy,2020-01-22,0,0.68,0.0197,0.741,0.0,0.0795,0.0369,0.533
しわあわせ,しわあわせ,Vaundy,2021-04-11,0,0.494,0.00484,0.613,0.0,0.115,0.0633,0.385
Bye by me,strobo,Vaundy,2020-05-27,0,0.634,0.375,0.655,1.41e-05,0.109,0.0229,0.691
life hack,life hack,Vaundy,2020-03-23,0,0.711,0.0216,0.664,0.00091,0.124,0.0469,0.783
Tokimeki,Tokimeki,Vaundy,2021-09-22,66,0.657,0.00105,0.697,0.0225,0.286,0.0297,0.915
soramimi,strobo,Vaundy,2020-05-27,0,0.726,0.000673,0.758,5.88e-05,0.132,0.0684,0.774
benefits,benefits,Vaundy,2021-06-12,0,0.479,0.0565,0.487,0.000116,0.0782,0.0335,0.52
僕は今日も,strobo,Vaundy,2020-05-27,0,0.554,0.269,0.552,4.04e-06,0.171,0.033,0.291
融解sink,融解sink,Vaundy,2021-02-24,0,0.776,0.0356,0.539,1.83e-06,0.0632,0.0876,0.722
